time,symbol,position_id,ticket_id,direction,profit,timeframe,strategy
2024-02-07 08:38:10.983070,SP500,212217804,212217804,long,-0.04,5M,rsi
2024-02-07 08:39:07.222944,ETHUSD,212218366,212218366,short,0.0,5M,engulfing_candle
2024-02-07 08:55:34.282516,SP500,212226851,212226851,short,0.0,5M,rsi
2024-02-07 09:40:16.795495,SP500,212257277,212257277,short,0.0,5M,rsi
2024-02-07 09:45:14.962031,ETHUSD,212265095,212265095,short,0.0,5M,engulfing_candle
2024-02-07 09:55:17.781782,ETHUSD,212276192,212276192,short,0.0,5M,engulfing_candle
2024-02-07 10:40:26.551936,SP500,212308571,212308571,short,0.0,5M,rsi
2024-02-07 10:55:25.176113,ETHUSD,212316863,212316863,long,0.83,5M,engulfing_candle
2024-02-07 13:05:14.312135,SP500,212359475,212359475,short,0.0,5M,engulfing_candle
2024-02-07 14:15:20.791080,SP500,212371950,212371950,short,0.0,5M,engulfing_candle
2024-02-07 18:00:22.709608,ETHUSD,212386213,212386213,short,0.0,1H,rsi
2024-02-08 04:15:24.108628,SP500,212493312,212493312,long,-0.25,5M,engulfing_candle
2024-02-08 06:35:08.335683,SP500,212546476,212546476,long,0.01,5M,rsi
2024-02-08 07:15:16.209913,SP500,212559682,212559682,long,-0.28,5M,engulfing_candle
2024-02-08 09:00:06.494461,SP500,212612362,212612362,long,3.38,5M,engulfing_candle
2024-02-08 09:12:35.852683,SP500,212618960,212618960,short,0.0,5M,engulfing_candle
2024-02-08 12:00:08.320367,ETHUSD,212709442,212709442,short,0.0,1H,rsi
2024-02-08 13:45:34.101981,SP500,212732267,212732267,short,0.0,5M,engulfing_candle
2024-02-09 06:05:23.229882,SP500,212866576,212866576,short,0.0,5M,engulfing_candle
2024-02-09 08:50:10.973121,SP500,212935895,212935895,short,0.0,5M,rsi
2024-02-09 10:00:10.928745,ETHUSD,212979558,212979558,short,0.0,1H,rsi
2024-02-09 11:20:31.314566,SP500,213011460,213011460,short,0.0,5M,engulfing_candle
2024-02-09 13:40:25.061742,SP500,213038810,213038810,short,0.0,5M,rsi
2024-02-11 18:19:00.383375,ETHUSD,213086173,213086173,long,0.01,1M,rsi
2024-02-11 18:34:12.463689,ETHUSD,213088234,213088234,long,0.03,1M,rsi
2024-02-11 19:04:32.554488,ETHUSD,213091073,213091073,long,0.04,1M,rsi
2024-02-11 19:15:20.492164,ETHUSD,213091843,213091843,long,0.16,1M,rsi
2024-02-11 19:34:14.711372,ETHUSD,213093957,213093957,long,-0.11,1M,rsi
2024-02-11 19:47:18.082108,ETHUSD,213095073,213095073,long,-0.09,1M,rsi
2024-02-11 19:53:20.585905,ETHUSD,213095478,213095478,long,-0.02,1M,rsi
2024-02-11 20:03:25.913828,ETHUSD,213096465,213096465,long,-0.08,1M,rsi
2024-02-11 20:05:28.148922,ETHUSD,213096706,213096706,long,0.1,1M,rsi
2024-02-11 20:29:04.601674,ETHUSD,213099201,213099201,long,-0.07,1M,rsi
2024-02-11 20:32:06.836539,ETHUSD,213099507,213099507,long,-0.08,1M,rsi
